value,date
6.81,2013-01-02
6.97,2013-01-03
6.97,2013-01-04
6.94,2013-01-07
6.95,2013-01-08
6.97,2013-01-09
7.15,2013-01-10
7.1,2013-01-11
7.1,2013-01-14
7.24,2013-01-15
7.4,2013-01-16
7.44,2013-01-17
7.37,2013-01-18
7.34,2013-01-22
7.42,2013-01-23
7.46,2013-01-24
7.52,2013-01-25
7.56,2013-01-27
7.56,2013-01-28
7.7,2013-01-29
7.83,2013-01-30
7.82,2013-02-01
7.62,2013-02-04
7.48,2013-02-05
7.6,2013-02-06
7.6,2013-02-07
7.57,2013-02-08
7.55,2013-02-13
7.56,2013-02-14
7.61,2013-02-15
7.6,2013-02-18
7.71,2013-02-19
7.73,2013-02-21
7.7,2013-02-25
7.72,2013-02-26
7.72,2013-02-27
7.74,2013-02-28
7.74,2013-03-01
7.73,2013-03-04
7.72,2013-03-05
7.73,2013-03-06
7.72,2013-03-07
7.73,2013-03-08
7.72,2013-03-11
7.74,2013-03-12
7.82,2013-03-13
7.89,2013-03-14
7.95,2013-03-15
7.98,2013-03-18
8.17,2013-03-19
8.65,2013-03-20
8.4,2013-03-21
8.25,2013-03-25
8.2,2013-03-26
8.37,2013-03-27
8.2,2013-04-03
8.22,2013-04-04
8.3,2013-04-05
8.23,2013-04-08
8.27,2013-04-09
8.29,2013-04-10
8.34,2013-04-11
8.33,2013-04-12
8.32,2013-04-15
8.42,2013-04-16
8.6,2013-04-17
8.56,2013-04-18
8.53,2013-04-19
8.57,2013-04-22
8.76,2013-04-23
8.84,2013-04-24
9.1,2013-04-25
9.24,2013-04-26
9.2,2013-04-29
9.3,2013-04-30
9.53,2013-05-02
9.78,2013-05-03
9.77,2013-05-06
9.98,2013-05-07
10.35,2013-05-08
9.93,2013-05-09
9.93,2013-05-10
9.93,2013-05-13
9.1,2013-05-14
8.95,2013-05-15
8.85,2013-05-16
8.85,2013-05-17
8.8,2013-05-20
8.48,2013-05-21
8.33,2013-05-22
8.7,2013-05-23
8.85,2013-05-24
8.82,2013-05-27
8.78,2013-05-28
8.78,2013-05-29
8.77,2013-05-30
8.7,2013-05-31
8.5,2013-06-03
8.4,2013-06-04
8.45,2013-06-05
8.47,2013-06-06
8.47,2013-06-07
8.47,2013-06-10
8.47,2013-06-11
8.47,2013-06-12
8.47,2013-06-13
8.47,2013-06-14
8.47,2013-06-17
8.47,2013-06-18
8.47,2013-06-19
7.95,2013-06-24
8.03,2013-06-25
8.03,2013-06-26
8.03,2013-06-27
8.03,2013-06-28
7.95,2013-07-01
7.83,2013-07-02
7.85,2013-07-03
7.88,2013-07-04
7.86,2013-07-05
7.88,2013-07-08
7.99,2013-07-10
8.1,2013-07-11
8.2,2013-07-12
8.48,2013-07-15
8.65,2013-07-16
8.75,2013-07-17
8.75,2013-07-22
8.56,2013-07-23
8.56,2013-07-29
8.53,2013-07-30
8.54,2013-07-31
8.46,2013-08-05
8.8,2013-08-08
8.72,2013-08-09
8.65,2013-08-12
8.69,2013-08-13
8.84,2013-08-14
8.85,2013-08-15
8.85,2013-08-16
8.87,2013-08-20
8.94,2013-08-21
9.04,2013-08-22
9.1,2013-08-23
9.1,2013-08-26
9.42,2013-08-27
9.4,2013-08-28
9.2,2013-09-02
9.17,2013-09-05
9.2,2013-09-06
9.06,2013-09-10
9.15,2013-09-11
9.16,2013-09-12
9.2,2013-09-16
9.2,2013-09-17
9.23,2013-09-18
9.25,2013-09-19
9.3,2013-09-20
9.3,2013-09-23
9.32,2013-09-24
9.46,2013-09-25
9.44,2013-09-26
9.44,2013-09-30
9.44,2013-10-01
9.44,2013-10-02
9.5,2013-10-03
9.48,2013-10-08
9.62,2013-10-10
9.72,2013-10-15
9.5,2013-10-16
9.8,2013-10-21
9.9,2013-10-22
10,2013-10-25
9.98,2013-10-28
9.82,2013-10-29
9.82,2013-10-30
9.88,2013-10-31
9.83,2013-11-05
9.77,2013-11-11
9.73,2013-11-12
9.72,2013-11-13
9.76,2013-11-14
9.77,2013-11-19
9.82,2013-11-20
9.83,2013-11-21
